opus_id,title,type,year,recording_exists,length,youtube_link,num_instruments,instruments,section_names,referenced_work
1,Concertino for piano and orchestra,Non-Concerti Soloist and Ensemble,1957,FALSE,,,-1,Piano,,
2,Concerto for piano and orchestra No. 1,Concerto,1961,FALSE,,,-1,Piano,,
4,Chorale and Fugue for orchestra,Orchestral,1962,FALSE,,,-1,,,
5,Piece for trumpet and orchestra,Non-Concerti Soloist and Ensemble,1962,FALSE,,,-1,Trumpet,,
7,Fantasia on three children's songs for orchestra,Orchestral,1963,FALSE,,,-1,,,
9,"""The Trial"", piece for orchestra",Orchestral,1966,FALSE,,,-1,,,
11,"""Estacade"" for big band",Big Band,1966,FALSE,,,-1,,,
13,Intermezzo for piano and orchestra,Non-Concerti Soloist and Ensemble,1968,FALSE,,,-1,Piano,,
15,"""The Forest Story"" for orchestra",Orchestral,1972,FALSE,,,-1,,,
17,Three Pieces for orchestra,Orchestral,1972,FALSE,,,-1,,,
18,Four Pieces for instrumental ensemble,Chamber,1973,FALSE,,,-1,,,
22,Piece for five saxophones and orchestra,Non-Concerti Soloist and Ensemble,1975,FALSE,,,-1,Alto Sax,,
23,"""Enigma"" for big band",Big Band,1975,FALSE,,,-1,,,
27,Fantasia for jazz quartet,Chamber,1976,FALSE,,,-1,,,
29,Scherzo for piano and orchestra,Non-Concerti Soloist and Ensemble,1978,FALSE,,,-1,Piano,,
30,Two-movement Concerto for orchestra,Orchestral,1980,FALSE,,,-1,,,
31,Elegy for orchestra,Orchestral,1980,FALSE,,,-1,,,
32,"""The Wind from the North"", piece for orchestra",Orchestral,1981,FALSE,,,-1,,,
33,Piece for two pianos and orchestra,Non-Concerti Soloist and Ensemble,1982,FALSE,,,-1,Piano,,
37,"""The Pleasant Meeting"", piece for orchestra",Orchestral,1983,FALSE,,,-1,,,
38,"""Presentiment"", piece for orchestra",Orchestral,1983,FALSE,,,-1,,,
42,"""A Rush Hour"" for ensemble",Chamber,1985,FALSE,,,-1,,,
43,"""An April Day"" for ensemble",Chamber,1985,FALSE,,,-1,,,
44,"""The Morning"" for ensemble",Chamber,1985,FALSE,,,-1,,,
51,Overture for big band,Big Band,1987,FALSE,,,-1,,,
52,"""Intrada"", piece for big band",Big Band,1988,FALSE,,,-1,,,
90,Concerto for eleven instruments,Chamber,1998,FALSE,,,-1,,,
106,"Suite for viola, alto saxophone, piano and bass",Chamber,2002,FALSE,,,4,"Viola, Alto Sax, Piano, Bass",,
119,"""Nothing to Loose"" for piano",Short Piano Piece,2004,FALSE,,,1,Piano,,
132,String Quartet No. 2,Chamber,2007,FALSE,,,4,"Violin, Viola, Cello",,
134,Piano Sonata No. 17,Piano Sonata,2008,FALSE,,,1,Piano,,
135,Piano Sonata No. 18,Piano Sonata,2008,FALSE,,,1,Piano,,
136,"Piano Trio No. 1 for violin, cello and piano",Chamber,2009,FALSE,,,3,"Violin, Cello, Piano",,
141,Violin Concerto,Concerto,2009,FALSE,,,-1,Violin,,
145,"Triptych for two pianos, four hands",Four Hands Piano Piece,2012,FALSE,,,2,Piano,,
147,Concerto for piano and orchestra No. 1 (2nd edition),Concerto,2012,FALSE,,,-1,Piano,,
154,"""The Last Attempt"", piece for string quartet",Chamber,2014,FALSE,,,4,"Violin, Viola, Cello",,
3,Variations for piano and big band,Non-Concerti Soloist and Ensemble,1962,TRUE,0:03:40,https://youtu.be/bo0DVqTq8AY,-1,Piano,,
6,"""Rose-Marie"", fantasia for orchestra",Orchestral,1963,TRUE,0:09:29,https://youtu.be/bxJC9MayJTc,-1,,,
8,Toccata for piano and orchestra,Non-Concerti Soloist and Ensemble,1964,TRUE,0:02:32,https://youtu.be/I9u06MGnJIg,-1,Piano,,
10,"""Big Band Sounds (The Sounds of Big Band)"" for orchestra",Orchestral,1966,TRUE,0:04:16,https://youtu.be/YM1h09yoINk,-1,,,
12,"""Aquarium-Blues"" for big band",Big Band,1967,TRUE,0:04:05,https://youtu.be/BjFiJ9eITRo,-1,,,
14,Concerto for piano and orchestra No. 2,Concerto,1974,TRUE,0:16:34,https://youtu.be/QKwUVgjNsnQ,-1,Piano,"I. Allegro molto, II. Andante, III. Rondo-toccata: Vivace",
16,Nocturne in G major for piano and orchestra,Non-Concerti Soloist and Ensemble,1972,TRUE,0:04:54,https://youtu.be/CBeQaP_T_qU,-1,Piano,,
19,Etude for piano and orchestra,Non-Concerti Soloist and Ensemble,1974,TRUE,0:03:50,https://youtu.be/5ZcQ9FggcrQ,-1,Piano,,
20,Nocturne for piano and orchestra (1974),Non-Concerti Soloist and Ensemble,1974,TRUE,0:03:47,https://youtu.be/j2az_lL3tDo,-1,Piano,,
21,Minuet for big band,Big Band,1974,TRUE,0:07:28,https://youtu.be/3R6QNV5d8PY,-1,,,
24,March for orchestra,Orchestral,1975,TRUE,0:02:27,https://youtu.be/Knlac76KLmo?t=3505,-1,,,
25,Concert Rhapsody for piano and orchestra,Non-Concerti Soloist and Ensemble,1976,TRUE,0:10:00,https://youtu.be/wC6r-LT6aKE,-1,Piano,,
26,"Day-Break (""Sunrise"") for piano",Short Piano Piece,1976,TRUE,0:03:10,https://youtu.be/j7HOxT2v-gs,1,Piano,,
28,Suite In the Old Style for piano,Piano Miniature Set,1977,TRUE,0:13:21,https://youtu.be/EQaza1lny6w,1,Piano,"I. Allemande, II. Gavotte, III. Sarabande, IV. Bouree, V. Gigue",
34,"""Meridian"", piece for orchestra",Orchestral,1982,TRUE,0:03:52,https://youtu.be/lsp5GZxKW8g,-1,,,
35,"""Closed Curve"" for orchestra",Orchestral,1982,TRUE,0:02:34,https://youtu.be/n4akmQqVQHI,-1,,,
36,Toccatina for piano,Short Piano Piece,1983,TRUE,0:02:59,https://youtu.be/sC5kdxei7sg,1,Piano,,
39,"Piano Sonata No. 1 ""Sonata-Fantasy""",Piano Sonata,1984,TRUE,0:18:16,https://youtu.be/gFefmXsnzMc,1,Piano,"I. Vivace, II. Largo, III. Scherzo, IV. Allegro molto",
40,Eight Concert Etudes for piano,Piano Miniature Set,1984,TRUE,0:22:24,https://youtu.be/RrpjWM8JT7k,1,Piano,"I. Prelude: Allegro assai, II. Reverie: Moderato, III. Toccatina: Allegro, IV. Remembrance: Larghetto, V. Raillery: Vivace, VI. Pastorale: Allegro moderato, VII. Intermezzo: Allegretto, VIII. Final: Prestissimo",
41,Variations for piano,Short Piano Piece,1984,TRUE,0:06:54,https://youtu.be/kzLW4DYf0PM,1,Piano,,
45,"""Motive Force"", toccata for piano",Short Piano Piece,1985,TRUE,0:01:39,https://youtu.be/MlTGAHt67Fo,1,Piano,,
46,"""Big Band Sounds (The Sounds of Big Band)"" for piano",Short Piano Piece,1986,TRUE,0:04:12,https://youtu.be/r_ZsRJdkxWg,1,Piano,,
47,"""Contemplation (Meditation)"" for piano",Short Piano Piece,1987,TRUE,0:05:19,https://youtu.be/RbHonqhonUU,1,Piano,,
48,Concerto for piano and orchestra No. 3,Concerto,1985,TRUE,0:34:52,https://youtu.be/etxnzEN31g0,-1,Piano,"I. Allegro, II. Larghetto, III. Allegro molto",
49,Sinfonietta for Piano 4-hands,Four Hands Piano Piece,1986,TRUE,0:18:45,https://youtu.be/Z0qNV_l0lls,1,Piano,"I. Overture: Allegro, II. Slow Waltz: Larghetto, III. Intermezzo: Allegretto, IV. Rondo: Presto",
50,Concerto for alto saxophone and orchestra,Concerto,1987,TRUE,0:15:22,https://youtu.be/9WaDVrZvlzk,-1,Alto Sax,,
53,Twenty-Four Preludes for piano,Piano Miniature Set,1988,TRUE,0:41:45,https://youtu.be/1kQE7Bbd1K8,1,Piano,"I. Presto, II. Allegro, III. Larghetto, IV. Allegretto, V. Largo, VI. Animato, VII. Moderato, VIII. Allegretto, IX. Lento, X. Allegro, XI. Andante, XII. Allegretto, XIII. Allegretto, XIV. Allegro, XV. Moderato, XVI. Andantino, XVII. Allegretto, XVIII. Animato, XIX. Vivace, XX. Lento a piacere, XXI. Comodo, XXII. Animato, XXIII. Moderato, XXIV. Presto",
54,Piano Sonata No. 2,Piano Sonata,1989,TRUE,0:22:22,https://youtu.be/1sYaREQ5SwI,1,Piano,"I. Allegro molto, II. Scherzo, III. Largo, IV. Perpetuum mobile",
55,Piano Sonata No. 3,Piano Sonata,1990,TRUE,0:15:18,https://youtu.be/TopgEE4jQAk,1,Piano,,
56,Concerto for piano and orchestra No. 4,Concerto,1989,TRUE,0:21:39,https://youtu.be/x9ZSEpR1Vww,-1,Piano,,
57,Chamber Symphony for chamber orchestra,Chamber,1990,TRUE,0:21:01,https://youtu.be/qdeOQyNJ97I,-1,,"I. Largo - Allegro con brio, II. Grave - attacca, III. Toccata: Vivo",
58,Andante for piano,Short Piano Piece,1990,TRUE,0:04:50,https://youtu.be/ipSWvGBhirU,1,Piano,,
59,Ten Bagatelles for piano,Piano Miniature Set,1991,TRUE,0:23:52,https://youtu.be/39BBJFE4K-0,1,Piano,"I. Allegro, II. Larghetto, III. Allegro moderato, IV. Allegretto, V. Largo, VI. Comodo, VII. Vivace, VIII. Adagio, IX. Allegretto, X. Giocosamente",
60,Piano Sonata No. 4,Piano Sonata,1991,TRUE,0:12:27,https://youtu.be/VeI8oT2SfKo,1,Piano,"I. Animato, II. Adagio, III. Allegretto",
61,Piano Sonata No. 5,Piano Sonata,1991,TRUE,0:11:50,https://youtu.be/BJMDOE-lHtQ,1,Piano,"I. Allegro ma non troppo, II. Andante, III. Allegro",
62,Piano Sonata No. 6,Piano Sonata,1991,TRUE,0:12:58,https://youtu.be/r27U1Z5eQyY,1,Piano,"I. Allegro ma non troppo, II. Grave, III. Vivace",
63,Sonata for cello and piano No. 1 ,Chamber,1991,TRUE,0:20:26,https://youtu.be/l0y52aV3K1I,2,"Piano, Cello","I. Largo - Allegro animato, II. Sarabanda: Largo, III. Scherzo: Vivo, IV. Introduzione e rondo: Allegro risoluto - Allegro ma non troppo",
64,Piano Sonata No. 7,Piano Sonata,1991,TRUE,0:20:41,https://youtu.be/6jbAJRyfLHw,1,Piano,"I. Allegretto, II. Adagio Iugubre, III. Minuetto, IV. Allegro vivace",
65,Berceuse for piano,Short Piano Piece,1991,TRUE,0:05:13,https://youtu.be/Lqhtjo6zMVk,1,Piano,,
66,Three Impromptus for piano,Piano Miniature Set,1991,TRUE,0:12:53,https://youtu.be/MaDdMUNKhiM,1,Piano,"I. Allegretto, II. Allegro meccanicamente, III. Vivace con fuocco",
67,Three Etudes for piano,Piano Miniature Set,1992,TRUE,0:10:17,https://youtu.be/mA3j_26LXGQ,1,Piano,"I. Glissandi, II. Ripetizione, III. Grappole",
68,Five Etudes in Different Intervals for piano,Piano Miniature Set,1992,TRUE,0:16:14,https://youtu.be/ogRxjRw6E9E,1,Piano,"I. Allegro: Etude in Minor Seconds, II. Allegro: Etude in Fourths and Fifths, III. Animato: Etude in Thirds and Sixths, IV. Vivace: Etude in Major Seconds, V. Animato: Etude in Octaves",
69,Sonata for viola and piano,Chamber,1992,TRUE,0:16:48,https://youtube.com/playlist?list=PLGJfrErjOLuOStIIEk7_oN2VCQHqsE7P2,2,"Piano, Viola","I. Allegro, II. Largo, III. Vivace",
70,Sonata for violin and piano,Chamber,1992,TRUE,0:16:49,https://youtu.be/biorK8bWhV0,2,"Piano, Violin","I. Allegro, II. Andantino, III. Con moto",
71,Capriccio for piano,Short Piano Piece,1992,TRUE,0:09:02,https://youtu.be/W0CxgTYn09U,1,Piano,,
72,Concerto for piano and orchestra No. 5,Concerto,1993,TRUE,0:20:43,https://youtu.be/cF1umsvewSQ,-1,Piano,,
73,Ten Inventions for piano,Piano Miniature Set,1993,TRUE,0:23:51,https://youtu.be/KCpmmBoBFpI,1,Piano,"I. Allegro, II. Largo, III. Allegretto giocoso, IV. Allegro risoluto, V. Grave, VI. Moderato - Tempo di valse, VII. Andantino - Swinging, VIII. Feroce, IX. Lento, X. Vivace",
74,Concerto for piano and orchestra No. 6,Concerto,1993,TRUE,0:17:38,https://youtu.be/K9VSladRevY,-1,Piano,"I. Allegro, II. Larghetto, III. Allegro giocoso",
75,Humoresque for piano,Short Piano Piece,1994,TRUE,0:04:43,https://youtu.be/kADVF4-q-fM,1,Piano,,
76,Concerto for double bass and symphony orchestra,Concerto,1994,TRUE,0:25:42,https://youtube.com/playlist?list=PLGJfrErjOLuO4YqeEtHr8f04YK5dv4Vna,-1,Bass,"I. Moderato, II. Andantino, III. Allegro Scherzando",
77,Piano Sonata No. 8,Piano Sonata,1995,TRUE,0:13:34,https://youtu.be/SLFLMxkAq0k,1,Piano,,
78,Piano Sonata No. 9,Piano Sonata,1995,TRUE,0:16:30,https://youtu.be/Wcl7_UJWBH8,1,Piano,"I. Allegro, II. Larghetto, Interludio, III. Allegro ma non troppo",
79,Piece for sextet,Chamber,1995,TRUE,0:07:43,https://youtu.be/qWEfEDi6euo,6,"Flute, Oboe, Viola, Piano, Double Bass, Drumset",,
80,Theme and Variations for piano,Short Piano Piece,1996,TRUE,0:05:30,https://youtu.be/_M9wTtRVeu0,1,Piano,,
81,Piano Sonata No. 10,Piano Sonata,1996,TRUE,0:12:38,https://youtu.be/yvdpiuXvmn0,1,Piano,"I. Allegro, II. Largo, III. Toccata",
82,Twenty-four Preludes and Fugues for piano,Piano Miniature Set,1997,TRUE,1:21:43,https://youtu.be/pprwR1VYmbU,1,Piano,"I. Prelude, I. Fugue, II. Prelude, II. Fugue, III. Prelude, III. Fugue, IV. Prelude, IV. Fugue, V. Prelude, V. Fugue, VI. Prelude, VI. Fugue, VII. Prelude, VII. Fugue, VIII. Prelude, VIII. Fugue, IX. Prelude, IX. Fugue, X. Prelude, X. Fugue, XI. Prelude, XI. Fugue, XII. Prelude, XII. Fugue, XIII. Prelude, XIII. Fugue, XIV. Prelude, XIV. Fugue, XV. Prelude, XV. Fugue, XVI. Prelude, XVI. Fugue, XVII. Prelude, XVII. Fugue, XVIII. Prelude, XVIII. Fugue, XIX. Prelude, XIX. Fugue, XX. Prelude, XX. Fugue, XXI. Prelude, XXI. Fugue, XXII. Prelude, XXII. Fugue, XXIII. Prelude, XXIII. Fugue, XXIV. Prelude, XXIV. Fugue",
83,Impromptu (Improvisation) for piano,Short Piano Piece,1997,TRUE,0:02:54,https://youtu.be/3KMrxH2SLkA,1,Piano,,
84,Sonata for cello and piano No. 2,Chamber,1997,TRUE,0:20:58,https://youtu.be/-eDiCTYV668,2,"Piano, Cello","I. A piacere - Allegro ma non troppo, II. Intermezzo: Comodo, III. Allegro assai",
85,Concerto for cello and orchestra,Concerto,1997,TRUE,0:24:36,https://youtu.be/_YbQK7JlWFc,-1,Cello,"I. Allegro, II. Largo con moto (attacca), III. Allegro",
86,"Trio for flute, cello and piano",Chamber,1998,TRUE,0:18:29,https://youtu.be/b4SursaD3ag,3,"Flute, Cello, Piano","I. Allegro molto, II. Andante, III. Allegro giocoso",
87,Seven Polyphonic Pieces for piano the left hand,Piano Miniature Set,1998,TRUE,0:11:34,https://youtube.com/playlist?list=PLRZ2CDJt1qN4PHvsUsLsn4Cp8Y2t7NV7Y,1,Piano,"I. Fuga a 3 voci, II. Fuga a 3 voci, III. Canone alla quarta, IV. Fughetta a 3 voci, V. Canone alla terza, VI. Fuga a 3 voci, VII. Fuga a 2 voci",
